product_id,name,import_price,sell_price,color,category,size,description
M0000001,Áo sơ mi công sở vải thô đũi dáng suông cổ hai ve thân áo phối túi ốp đính khuy tạo kiểu cài khuy thân trước,425300,607600,"Kem,Đen","Áo dễ phối,Áo sơ mi","S,M,L,XL,XXL","Mẫu áo sơ mi là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:Thô đũi - 78% Polyester 22% Rayon"
M0000002,Áo sơ mi công sở vải lụa satin dáng suông cổ tròn không tay,558600,798000,Trắng,"Áo dễ phối,Áo sơ mi","S,M,L,XL","Mẫu áo sơ mi là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:Lụa satin - 100% polyester"
M0000003,Áo sơ mi công sở vải lụa tằm dáng suông cổ kiểu phối dây nơ tạo kiểu,537600,768000,Trắng,"Áo dễ phối,Áo sơ mi","S,M,L,XL","Mẫu áo sơ mi là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:Lụa tằm -100% polyester"
M0000004,Áo sơ mi công sở vải chiffon xốp dáng suông trễ vai phối chun co giãn tay dài bồng nhẹ có bo chun cổ tay,391000,558600,"Hồng,Trắng","Áo dễ phối,Áo sơ mi","S,M,L","Mẫu áo sơ mi là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:Chiffon xốp - 99% Polyester - 1% Spandex"
M0000005,"Áo sơ mi dáng suông, cổ đức bằng vải phối, tay dài, măng séc bằng vải phối, túi ốp to, nẹp cài khuy",369600,528000,Xanh,"Áo dễ phối,Áo sơ mi","S,M","Phong cách trẻ trung hiện đại dễ dàng mix với nhiều trang phục khác nhau như chân váy, quần... chắc chắn sẽ không khiến nàng mất đi sự ấn tượng nơi công sở hay lúc đi chơi, dạo phố. Tối ưu đặc tính nhẹ nhàng, dịu dàng hơn cho làn da, mang đến sự quyến rũ cho người mặc tôn lên vóc dáng hoàn hảo cho mỗi người. Chất liệu:70% Polyester 30% cotton"
M0000006,Áo sơ mi công sở vải thô kate dáng suông cổ đức tay dài có túi ngực thêu hoạ tiết trang trí,558900,798400,Trắng,"Áo dễ phối,Áo sơ mi","S,M,L,XL","Mẫu áo sơ mi là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:Thô kate - 100% cotton"
M0000007,"Áo sơ mi dáng suông, cổ tròn xếp bèo cao, nẹp cài khuy, nhún cửa tay, tay dài, buộc nơ cổ",481600,688000,"Xanh,Trắng","Áo dễ phối,Áo sơ mi","S,M","Phong cách trẻ trung hiện đại dễ dàng mix với nhiều trang phục khác nhau như chân váy, quần... chắc chắn sẽ không khiến nàng mất đi sự ấn tượng nơi công sở hay lúc đi chơi, dạo phố. Tối ưu đặc tính nhẹ nhàng, dịu dàng hơn cho làn da, mang đến sự quyến rũ cho người mặc tôn lên vóc dáng hoàn hảo cho mỗi người. Chất liệu:70% polyester 30% tencen"
M0000008,Áo sơ mi công sở vải thô lụa dáng suông cổ kiểu eo phối vạt thắt nơ tạo kiểu,342000,488600,Trắng,"Áo dễ phối,Áo sơ mi","S,M,L,XL","Mẫu áo somi là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:Thô lụa - 70% Polyester 30% cotton"
M0000009,Áo sơ mi công sở vải tơ dáng suông cổ đức tay dài thân áo phối ren lưới tạo kiểu cài khuy thân trước,628600,898000,"Đen,Trắng","Áo dễ phối,Áo sơ mi","S,M,L,XL","Mẫu áo somi là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:Vải tơ - 80% polyester 20% tencel"
M0000010,Áo sơ mi công sở vải lụa bóng cổ kiểu đính đá trang trí thân áo phối bèo tạo kiểu,459600,656600,Trắng,"Áo dễ phối,Áo sơ mi","S,M,L","Mẫu áo sơ mi là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:Lụa bóng - 99% Polyester - 1% Spandex"
M0000326,Áo len thời trang cao cấp dáng suông cổ tròn thân áo hoạ tiết đính khuy đá tạo kiểu,578200,826000,"Đỏ,Đen,Trắng","Áo dễ phối,Áo len",FS,"Mẫu áo len là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:"
M0000327,Áo len thời trang cao cấp dáng lửng cổ tròn hoạ tiết kẻ ngang,628600,898000,"Kem,Xanh,Đen,Trắng","Áo dễ phối,Áo len",FS,"Mẫu áo len là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:50% viscose 25% nylon 25% polyamide"
M0000328,Áo khoác len thời trang cao cấp vải len nhũ dáng suông cổ tròn thân áo có nắp túi ốp tạo kiểu đính đá,578200,826000,"Hồng,Xanh,Trắng","Áo dễ phối,Áo len",FS,"Mẫu áo khoác len là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:"
M0000329,Áo len thời trang cao cấp dáng suông cổ tròn tay bồng nhẹ,537600,768000,"Ghi,Tím,Đen,Trắng","Áo dễ phối,Áo len",FS,"Mẫu áo len là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:"
M0000330,Áo khoác len thời trang cao cấp dáng suông cổ tròn thân áo đính khuy đá trang trí,628600,898000,"Vàng,Hồng,Tím,Trắng","Áo dễ phối,Áo len",FS,"Mẫu áo khoác len là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:100% nylon"
M0000331,Áo khoác len thời trang cao cấp dáng dài có mũ thân áo có túi,631100,901600,"Đỏ,Xanh,Đen,Trắng","Áo dễ phối,Áo len",FS,"Mẫu áo khoác len là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:57% Acrylic 28% PBT 15% polyamide"
M0000332,Áo len thời trang cao cấp dáng suông cổ cao lệch vai,628600,898000,"Cam,Xanh,Đen,Trắng","Áo dễ phối,Áo len",FS,"Mẫu áo len là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:50% viscose 25% polyester 25% nylon"
M0000333,Áo khoác len thời trang cao cấp dáng ôm cài khuy thân trước,440000,628600,"Ghi,Cam,Đỏ,Xanh,Đen","Áo dễ phối,Áo len",FS,"Mẫu áo khoác len là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:65% cotton 35%nylon"
M0000334,Áo len thời trang cao cấp dáng suông cổ đức tay ngắn bo gấu kèm áo hai dây,838600,1198000,"Xanh,Đen,Trắng","Áo dễ phối,Áo len","M,L,XL","Mẫu áo len là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:"
M0000335,Áo len thời trang cao cấp dáng ôm cổ tròn tay lỡ,607600,868000,"Hồng,Xanh,Đen,Trắng","Áo dễ phối,Áo len",FS,"Mẫu áo len là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:"
M0000270,Áo thun cotton dáng croptop cổ đức ngực áo thêu hoạ tiết thời trang,348600,498000,"Xanh 1,Trắng",Áo dệt kim,"M,L,XL,XXL","Mẫu áo thun là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:Cotton - 100% polyester"
M0000271,Áo thun thời trang cao cấp vải len dáng ôm cổ đức bản to cài khuy tay lỡ thân áo hoạ tiết đường kẻ,337100,481600,"Nâu,Trắng",Áo dệt kim,"S,M,L,XL","Mẫu áo thun là thiết kế độc quyền của Pantio. mang đến cho nàng sự chỉn chu chuyên nghịệp mà không mất đi nét nữ tính, thời thượng. Làm nàng nổi bật nét đẹp, ấn tượng giữa đám đông. Chất liệu:Vải len - 98% polyester - 2 % spandex"
